Päivämäärä,Käyttäjätunnus,Aihe,Twiitti,Suodatettu_Twiitti,Twiitti_englanniksi,Tunneluku,Tunneluokka
2018-09-13,AtostekOy,A0,Terveydenhuollon organisaatioiden tietojen säilytysvelvollisuus voi käydä kalliiksi esimerkiksi lisenssimaksujen muodossa. Sastamassa työterveyden vanhan järjestelmän tiedot siirrettiin #eRA Siirrolla #Kanta'an. Lue lisää: https://t.co/Dg6owWnS60 #digitalisaatio #terveydenhuolto,terveydenhuollo organisaatio tieto säilytysvelvollisuus käydä kallis esimerkiksi lisenssimaksu muoto sastamassa työterveyden vanha järjestelmä tieto siirrettiin era siirrolla kanta'an lukea lisää _ url _ digitalisaatio terveydenhuolto,"the data storage obligation of health care organizations can be expensive, for example in the form of license fees. in sasta, the information of the old system of occupational health was transferred to #kanta'a with #era migration. read more: https://t.co/dg6owwns60 #digitalisaatio #terveydenhuolto",0.4939,positiivinen
2018-09-15,Niemijarvi,A0,"One-linerin uskottavuutta lisää jos juttua ryydittää kuva robotista, mieluusti Pepperistä. #digitalisaatio #tekoäly #sote #terveydenhuolto",onelineri uskottavuutt lisää juttu ryydittää kuva robotista mieluusti pepperistä digitalisaatio tekoäly sote terveydenhuolto,"the credibility of the one-liner is increased if the story is accompanied by a picture of a robot, preferably pepper. #digitalization #artificial intelligence #sote #healthcare",0.6369,positiivinen
2018-09-26,SuomiTerveeksi,A0,"”Viime vuonna käyttöönotettu #OmaTays -palvelu on innostanut useita Taysin yksiköitä uudistamaan toimintatapaansa, jotta asiointi olisi asiakkaille aiempaa helpompaa”, kirjoittaa Eija Tomás @Tays_sairaala #terveydenhuolto #digitalisaatio https://t.co/xe7j5tya8k",viime vuosi käyttöönoteta palvelu innostaa usea taysin uudistaa toimintatapaa asiointi asiakkaille aiempi helppo kirjoittaa eija tomás @tays_sairaala terveydenhuolto digitalisaatio _ url _,"""the #omatays service, introduced last year, has inspired several tays units to reform their way of working so that doing business would be easier for customers than before,"" writes eija tomás @tays_sairaala #terveydenhuolto #digitalisaatio https://t.co/xe7j5tya8k",0.7184,positiivinen
2018-09-28,FysioKuntoutus,A0,"Ikäihmisten kaatumisia voi ja pitää ehkäistä, fysioterapiasuosituksesta uusia keinoja. Tiedote: https://t.co/ACmj17GeEy #toimintakyky #fysioterapia #digitalisaatio #terveydenhuolto @SaijaKarinkanta @UKKinstituutti @fysioterapeutit https://t.co/1Pk1eEc68o",ikäihmisten kaatuminen pitää ehkäistä fysioterapiasuosituksesta uusi keino tiedote _ url _ toimintakyky fysioterapia digitalisaatio terveydenhuolto @saijakarinkanta @ukkinstituutti @fysioterapeutit _ url _,"falls in the elderly can and should be prevented, new ways to recommend physiotherapy. release: https://t.co/acmj17geey #toimintakyky #fysioterapia #digitalisaatio #terveydenhuolto @saijakarinkanta @ukkinstituutti @fysioterapeutit https://t.co/1pk1eec68o",0.3818,neutraali
2018-10-02,SuomiTerveeksi,A0,Eija Tomás @Tays_sairaala: Yhdistämällä sähköisiä palveluita toiminnan muutokseen luodaan uusi toimintamalli ja -kulttuuri sekä asiakkaille että terveydenhuollon ammattilaisille. #digitalisaatio #terveydenhuolto #OmaTays #terveys https://t.co/xe7j5tya8k,eija tomás @tays_sairaala yhdistämällä sähköinen palvelu toiminta muutoknen luoda uusi toimintamalli kulttuuri asiakas terveydenhuolto ammattilaisille digitalisaatio terveydenhuolto terveys _ url _,"eija tomás @tays_sairaala: by combining electronic services with operational change, a new operating model and culture will be created for both customers and healthcare professionals. #digitalization #health care #omatays #health https://t.co/xe7j5tya8k",0.6369,positiivinen
2018-10-05,LauriAW,A0,"Tanskassa kuntaliitto, kunnat ja valtio yhdessä rakentavat yhtenäistä digitaalista alustaa terveydenhuollon ja ihmisten avuksi. Tätä tarvitaan Suomeen! #sote #digitalisaatio #data #terveydenhuolto #mydata #HealthTech @kommunerne",tanska kuntaliitto kunta valtio yhdessä rakentaa yhtenäi digitaalinen alusta terveydenhuolto ihminen apu tarvita suomi sote digitalisaatio data terveydenhuolto mydata healthtech @kommunerne,"in denmark, the union of municipalities, municipalities and the state together build a unified digital platform to help healthcare and people. finland needs this! #sote #digitalisaatio #data #terveydenhuolto #mydata #healthtech @kommunerne",0.68,positiivinen
2018-10-15,SuomiTerveeksi,A0,"Eija Tomás @Tays_sairaala: Digitalisaation mahdollistamien muutosten, kuten #OmaTays-palvelun avulla, pystymme parantamaan palvelun laatua ja mahdollistamaan enemmän aikaan potilaan ja ammattilaisen kohtaamiselle. #terveydenhuolto #digitalisaatio https://t.co/xe7j5tya8k",eija tomás @tays_sairaala digitalisaatio mahdollistami muutos kuten omatays-palvelun apu pystyä parantaa palvelu laatu mahdollistaa enemmän aika potilas ammattilaisen kohtaamisi terveydenhuolto digitalisaatio _ url _,"eija tomás @tays_sairaala: with the help of changes made possible by digitalization, such as the #omatays service, we are able to improve the quality of the service and enable more time for the patient and professional to meet. #terveydenhuolto #digitalization https://t.co/xe7j5tya8k",0.6808,positiivinen
2018-10-22,VivagoGlobal,A0,Tuoreen väitöskirjatutkimuksen mukaan teknologiset apuvälineet tukevat oikein käytettynä muistisairaan ihmisen arkea. https://t.co/xGbznsxOvb @VivagoGlobal #teknologia #ennakoivahoito #muistisairaus #digitalisaatio #terveydenhuolto https://t.co/dFrc4sB7vB,tuore väitöskirjatutkimuknen teknologinen apuväline tukea oikein käytetty muistisairaan ihminen arki _ url _ @vivagoglobal teknologia ennakoivahoito muistisairaus digitalisaatio terveydenhuolto _ url _,"according to a recent dissertation study, technological aids support the everyday life of a person with dementia when used correctly. https://t.co/xgbznsxovb @vivagoglobal #teknologia #prenakoivahoito #mumisairaius #digitalisaatio #terveydenhuolto https://t.co/dfrc4sb7vb",0.4019,positiivinen
2018-10-23,kaute_saatio,A0,".@samulisaarni muistuttaa, että digitalisaatio tulee muuttamaan terveydenhoitoa, sillä terveydenhuolto on toistaiseksi jäljessä muita sektoreita. ""Digitalisaatio voi muuttaa pelikentän kansalliseksi, ja se on todella kiinnostavaa"", Saarni pohtii. #visiopäivä #terveys",muistuttaa digitalisaatio tulla muuttaa terveydenhoito terveydenhuolto toistaiseksi jäljessä sektore digitalisaatio muuttaa pelikentän kansalliseksi todella kiinnostava saarni pohtia visiopäivä terveys,".@samulisaarni reminds that digitalization will change healthcare, because healthcare is currently lagging behind other sectors. ""digitalization can change the playing field to a national one, and that's really interesting,"" saarni reflects. #visionday #health",0.4005,positiivinen
2018-11-01,CiniaFinland,A0,Terveydenhuollon sähköisiin järjestelmiin kerätyn datan lisäarvo syntyy tiedon hyödynnettävyydestä oikeassa muodossa. Arvoverkot voivat olla tässä apuna. https://t.co/h0jCOUaiwC #arvoverkot #terveydenhuolto #digitalisaatio #bigdata #mydata https://t.co/lAOltzSXXl,terveydenhuollo sähköisi järjestelma kerätty data lisäarvo syntyä tieto hyödynnettävyydenen oikea muoto arvoverko apu _ url _ arvoverkko terveydenhuolto digitalisaatio bigdata mydata _ url _,the added value of the data collected in the electronic systems of health care arises from the usability of the information in the right form. value networks can be of help here. https://t.co/h0jcouaiwc #arvoverkot #terveydenhuolto #digitalisaatio #bigdata #mydata https://t.co/laoltzsxxl,0.8658,positiivinen
2018-09-14,VivagoGlobal,A0,Reaaliaikaisella etämonitoroinnilla saatu terveystieto muuttaa hoitoprosesseja ja vähentää terveydenhuollon kustannuksia. Samalla saadaan suuria inhimillisiä hyötyjä. #digitalisaatio #terveydenhuolto #medicaldevice https://t.co/m4cVXQHLcp https://t.co/xnkkmlE02j,reaaliaikaisella etämonitoroinna saada terveystieto muuttaa hoitoprosessi vähentää terveydenhuolto kustannus samalla saada suuri inhimillinen hyöty digitalisaatio terveydenhuolto _ url _ _ url _,"the health information obtained through real-time remote monitoring changes treatment processes and reduces healthcare costs. at the same time, great human benefits are obtained. #digitalisation #healthcare #medicaldevice https://t.co/m4cvxqhlcp https://t.co/xnkkmle02j",0.7717,positiivinen
2018-11-07,taisto_hakala,A0,Terveydenhuollon digipalveluita tulee rakentaa potilaan ehdoilla ja henkilöstön kanssa. https://t.co/3tLl2OhSwL #terveydenhuolto #digitalisaatio #potilas #henkilöstö #terveyshyöty #tehyetiikka,terveydenhuollo digipalvelu tulla rakentaa potilas ehdoi henkilösttö _ url _ terveydenhuolto digitalisaatio potilas henkilöstö tehyetiikka,health care digital services must be built on the patient's terms and with the staff. https://t.co/3tll2ohswl #terveydenhuolto #digitalisaatio #patialis #personnelstö #terveyshyöty #tehyetiikka,0.4939,positiivinen
2018-07-18,CGI_FI,A0,"Tänään keskustellaan terveydenhuollon hyvistä ja huonoista uutisista mm. @Vapaavuori, @TuijaBrax, @winninghelix, @MParkkila ja @KirsiHeikel kanssa. Tule Antinkadun lavalle tai seuraa verkossa klo 13 https://t.co/TvDHxw5lHA #SuomiAreena #terveydenhuolto #sote #digitalisaatio https://t.co/JgsNyBRBbc",tänään keskustella terveydenhuolto hyvistä huonoi uutinen mm. @vapaavuori @tuijabrax @winninghelix @mparkkila @kirsiheikel tule antinkatu lava seurata verkossa klo _ url _ suomiareena terveydenhuolto sote digitalisaatio _ url _,"today we will discuss the good and bad news of health care, e.g. with @vapaavuori, @tuijabrax, @winninghelix, @mparkkila and @kirsiheikel. come to the antinkau stage or watch online at 1 pm https://t.co/tvdhxw5lha #suomiareena #terveydenhuolto #sote #digitalisaatio https://t.co/jgsnybrbbc",0.3818,neutraali
2017-02-22,digiterveys,A0,"Kuinka kieltäytyä rakentavasti, ja välttää ylikuormitus? Sano kaksi kertaa kyllä, ja kerran ei! https://t.co/UmnW8qp3JY",kuinka kieltäytyä rakentavasti välttää ylikuormitus sano kerta kyllä kerran ei _ url _,"how to refuse constructively, and avoid overload? say yes twice and no once! https://t.co/umnw8qp3jy",-0.69,negatiivinen
2018-05-09,Qvalidi,A0,Qvalidin asiantuntija Heidi Parisod tutki väitöskirjatyössään varhaisnuorille suunnattua #Fume #terveyspeli 'ä ja tupakkaan liittyvää terveysohjausta. #healthgames #digitalisaatio #nuoret #terveydenhuolto @HParisod https://t.co/3rB7Fu4GRx,qvalid asiantuntija heidi parisod tutkia väitöskirjatyössään varhaisnuorille suunnattu fume terveyspeli tupakka liittyä terveysohjau healthgames digitalisaatio nuori terveydenhuolto @hparisod _ url _,qvalid's expert heidi parisod studied the #fume #health game aimed at young people and tobacco-related health guidance in her dissertation. #healthgames #digitalization #youth #health care @hparisod https://t.co/3rb7fu4grx,0.25,neutraali
2018-05-10,TurkuDigital,A0,"""Digitalisoituva terveydenhuolto on vielä isompi asia kuin soten rakenteiden kehittyminen"" #ketteryys #digitalisaatio #terveydenhuolto https://t.co/ng7ad9IKdQ",digitalisoituva terveydenhuolto vielä iso asia soten rakenne kehittyminen ketteryys digitalisaatio terveydenhuolto _ url _,"""digitalized health care is an even bigger thing than the development of military structures"" #ketteryys #digitalisaatio #terveydenhuolto https://t.co/ng7ad9ikdq",0.4939,positiivinen
2018-05-11,TurkuDigital,A0,"""Suo­mi on kan­sain­vä­li­ses­ti kär­ki­mai­ta ter­vey­den ja hy­vin­voin­nin säh­köi­ses­sä tie­don­hal­lin­nas­sa.""   #digitalisaatio #terveydenhuolto #hyvinvointi https://t.co/I3KHc3jhzk",suo­mi kan­sain­vä­li­ses­ti kär­ki­mai­ta ter­vey­den hy­vin­voin­ni säh­köi­ses­sä tie­don­hal­lin­nas­sa digitalisaatio terveydenhuolto hyvinvointi _ url _,"""finland is an international leader in electronic information management for health and well-being."" #digitalization #healthcare #wellbeing https://t.co/i3khc3jhzk",0.0,neutraali
2018-05-17,CGI_FI,A0,Soten digiloikkaa ei kannata yrittää vauhdittomana pituushyppynä. Voit ottaa ensimmäiset pienemmät askeleet jo nyt @ElinaJyvasjarvi neuvoilla. Lue blogista: https://t.co/iBCeZLEI6Z #terveydenhuolto #soteuudistus #digitalisaatio https://t.co/6dLdDq8riR,soten digiloikka kannattaa yrittää vauhdittoma pituushyppy ottaa ensimmäinen pienemmä askele jo nyt @elinajyvasjarvi neuvoilla lukea blogi _ url _ terveydenhuolto soteuudistus digitalisaatio _ url _,"so, you shouldn't try the digital jump as a slow long jump. you can take the first smaller steps right now with @elinajyvasjarvi's advice. read on the blog: https://t.co/ibcezlei6z #terveydenhuolto #soteuudis #digitalisaatio https://t.co/6dlddq8rir",0.0,neutraali
2018-05-17,CGI_FI,A0,Tänään innovoitiin ensimmäistä kertaa HealthHub-yhteisön kanssa parempia hyvinvoinnin ja terveydenhuollon digiratkaisuja 💪#sote #terveydenhuolto #digitalisaatio https://t.co/NCTWCr46J4,tänään innovoiti ensimmäinen kerta healthhub-yhteisö parempia hyvinvointi terveydenhuolto digiratkaisu _ emoji_#sote terveydenhuolto digitalisaatio _ url _,"today, better digital solutions for well-being and healthcare were innovated for the first time with the healthhub community 💪#sote #terveydenhuolto #digitalisaatio https://t.co/nctwcr46j4",0.5574,positiivinen
2018-05-18,KALehto,A0,"Tää on varmaan totta. #Digitalisaatio fanina suosittelen silti myös perinteisempiä keinoja, kuten vaikka kymmensormijärjestelmän opettelua kaikille pöydän ääressä työskenteleville. Siitä syntyis taatusti myös satojen työtuntien aikasäästöt. #sote #terveydenhuolto https://t.co/neyZetVQGH",varmaan totta digitalisaatio fan suositella silti myös perinteisempiä keino kuten kymmensormijärjestelmä opettelu pöytä työskentelevi syntyis taatusti myös työtunta aikasäästö sote terveydenhuolto _ url _,"that's probably true. as a fan of #digitalisation, i still recommend more traditional methods, such as learning the ten-finger system for everyone working at a desk. it would also guarantee time savings of hundreds of working hours. #sote #healthcare https://t.co/neyzetvqgh",0.8225,positiivinen
2018-05-21,VivagoGlobal,A0,Asiantuntijamme ovat mukana osallistumassa sosiaali- ja terveydenhuollon atk-päivillä Jyväskylässä 22.-23.5.18. Kerromme mielellämme lisää Vivagon hyvinvoinnin ja turvallisuuden ratkaisuista! @VivagoGlobal #atkpaivat #digitalisaatio #terveydenhuolto https://t.co/pBO5H10X0g,asiantuntijamme osallistuma sosiaali terveydenhuolto atk-päivillä jyväskylä kerromme mielellämme lisää vivako hyvinvointi turvallisuus ratkaisuinen @vivagoglobal atkpaia digitalisaatio terveydenhuolto _ url _,our experts will participate in social and healthcare it days in jyväskylä on 22-23 may 2018. we are happy to tell you more about vivago's well-being and safety solutions! @vivagoglobal #atkpaivat #digitalization #health care https://t.co/pbo5h10x0g,0.8932,positiivinen
2018-05-21,VivagoGlobal,A0,Asiantuntijamme ovat mukana sosiaali- ja terveydenhuollon atk-päivillä Jyväskylässä 22.-23.5.18. Kerromme mielellämme miten asiakkaamme kehittävät toimintaansa Vivagon avulla. Lue lisää esim. Taukokangas-blogistamme. @VivagoGlobal #atkpaivat #digitalisaatio #terveydenhuolto https://t.co/T90wO8D52V,asiantuntijamme sosiaali terveydenhuolto atk-päivillä jyväskylä kerromme mielellämme miten asiakkaamme kehittää toiminta vivagon apu lukea lisää esim. taukokangas-blogistamme @vivagoglobal atkpaia digitalisaatio terveydenhuolto _ url _,"our experts will participate in social and health care it days in jyväskylä on 22-23 may 2018. we are happy to tell you how our customers develop their operations with the help of vivago. read more on our taukokangas blog, for example. @vivagoglobal #atkpaivat #digitalization #health care https://t.co/t90wo8d52v",0.9153,positiivinen
2017-03-03,digiterveys,A0,"Nyt se on todistettu. Aivojen jatkuvalla kuormittamisella myös vaikutusta sydän- ja verisuonitautiriskiin #stressi
https://t.co/jNwZ3J8kEC",nyt todisteta aivojen jatkuva kuormittamisella myös vaikutus sydän verisuonitautiriskiin stressi _ url _,"now it has been proven. continuous stress on the brain also affects the risk of cardiovascular disease #stress
https://t.co/jnwz3j8kec",-0.7717,negatiivinen
2018-07-17,CGI_FI,A0,"Terveydenhuollon hyvät ja huonot uutiset lähetetään suorana lähetyksenä verkossa. Tule siis kuulolle huomenna klo 13-14, striimin löydät #SuomiAreena'n sivuilta ja Katsomosta:  https://t.co/JghVIrr3FA #terveydenhuolto #sote #hyvinvointi #digitalisaatio #teknologia https://t.co/9c091IOnrW",terveydenhuollo hyvä huono uutiset lähettää suora lähetyknen verko tule siis kuulo huomenna klo striimin löydät suomiareena'n sivu katsomo _ url _ terveydenhuolto sote hyvinvointi digitalisaatio teknologia _ url _,"the good and bad news of health care is broadcast live online. so tune in tomorrow at 13-14, you can find the stream on #suomiareena's website and katsomo: https://t.co/jghvirr3fa #terveydenhuolto #sote #hyvinvointi #digitalisaatio #teknologia https://t.co/9c091ionrw",0.3818,neutraali
2018-05-29,LuonaOy,A0,"Aikamatka tulevaisuuteen näyttää, että digitaaliset ratkaisut ja parantunut tiedonsaanti poistavat monia esteita hyvinvoinnin tieltä, kirjoittaa @lisbethfg1 Luonan blogissa. #digitalisaatio #hyvinvointi #terveydenhuolto #sote

https://t.co/aZpYa4ot8C",aikamatka tulevaisuus näyttää digitaalinen ratkaisu parantua tiedonsaanti poistaa este hyvinvointi tie kirjoittaa @lisbethfg1 luona blogi digitalisaatio hyvinvointi terveydenhuolto sote _ url _,"time travel to the future shows that digital solutions and improved access to information remove many obstacles to well-being, writes @lisbethfg1 in luona's blog. #digitalization #wellbeing #healthcare #healthcare

https://t.co/azpya4ot8c",0.296,neutraali
2018-06-04,CiniaFinland,A0,Terveydenhuollossa järjestelmähakkeita riittää. Varmista onnistuminen palvelumuotoilulla ja harkitulla räätälöinnillä. https://t.co/yg0YJqAWAr #terveydenhuolto #digitalisaatio #palvelumuotoilu #cinia https://t.co/TIvSvWdlMz,terveydenhuollo järjestelmähakke riittää varmista onnistuminen palvelumuotoilulla harkitulla räätälöinnillä _ url _ terveydenhuolto digitalisaatio palvelumuotoilu _ url _,there are enough system chips in healthcare. ensure success with service design and thoughtful customization. https://t.co/yg0yjqawar #terveydenhuolto #digitalisaatio #palvelumuotoilu #cinia https://t.co/tivsvwdlmz,0.836,positiivinen
2018-06-11,NiiloFarkkila,A0,"Terveydenhuollon digitalisaatio etenee onneksi joka tapauksessa!  Digitalisoituva terveydenhuolto on vielä isompi asia kuin rakenteista puhuminen, kirjoittaa @sannalauslahti blogissa https://t.co/EzHCvjZbls #digitalisaatio",terveydenhuollo digitalisaatio edetä onneksi tapaus digitalisoituva terveydenhuolto vielä iso asia rakenne puhuminen kirjoittaa @sannalauslahti blogi _ url _ digitalisaatio,"fortunately, the digitization of healthcare is progressing in any case! digitized healthcare is an even bigger thing than talking about structures, writes @sannalauslahti in the blog https://t.co/ezhcvjzbls #digitalisaatio",0.0,neutraali
2018-06-14,KALehto,A0,"Seinien läpi näkevä ja tunnistava #tekoäly on pian täällä! Todella mielenkiintoisia mahdollisuuksia esim. #terveydenhuolto’on!

#sote #digitalisaatio #teknologia

https://t.co/kVk4UJqQ3Z",seinien näkevä tunnistava tekoäly pian täällä todella mielenkiintoinen mahdollisuus esim. terveydenhuolto sote digitalisaatio teknologia _ url _,"#artificial intelligence that sees and recognizes through walls will soon be here! really interesting opportunities, e.g. #terveydenhuolto'on!

#sote #digitalization #technology

https://t.co/kvk4ujqq3z",0.861,positiivinen
2018-06-14,KALehto,A0,"#Tekoäly:stä apua ennakoivaan työkyvyttömyyden tunnistamiseen.

#digitalisaatio #terveydenhuolto #sote

https://t.co/irSEU21ZDS",tekoäly:stä apu ennakoivaan työkyvyttömyyden tunnistaminen digitalisaatio terveydenhuolto sote _ url _,"#artificial intelligence for help in proactively identifying incapacity for work.

#digitalization #healthcare #healthcare

https://t.co/irseu21zds",0.7003,positiivinen
2018-06-15,TiinaApilo,A0,"Lectio praecursoria #VTTpeople @WallinArto 
Teknologia ei yksin riitä - tarvitaan palveluinnovaatioita ja pelisääntöjen muutosta

#terveydenhuolto #digitalisaatio https://t.co/pwuUsViFI2",lectio praecursori vttpeople @wallinarto teknologia yksin riittää tarvita palveluinnovaatio pelisääntö muutos terveydenhuolto digitalisaatio _ url _,"lectio praecursoria #vttpeople @wallinarto
technology alone is not enough - service innovations and a change in the rules of the game are needed

#terveydenhuolto #digitalization https://t.co/pwuusvifi2",-0.25,neutraali
2018-06-18,KALehto,A0,"Suomalaiset olisivat valmiimpia digitaalisiin #terveydenhuolto palveluihin, kuin on tarjolla! Onko alalla työskentelevät jarruna vai mistä on kysymys?

#digitalisaatio #sote #muutos

https://t.co/YhHEhfRE5e",suomalainen valmiimpi digitaalisi terveydenhuolto palvelu tarjolla ala työskennellä jarrunaa kysymys digitalisaatio sote muutos _ url _,"finns would be more ready for digital #healthcare services than are available! are the people working in the field a brake or what is the issue?

#digitalization #sote #change

https://t.co/yhhehfre5e",0.474,positiivinen
2018-06-20,Qvalidi,A0,Tuoreessa Aurora -lehdessä juttu Qvalidilaisen väitöstutkimuksesta. #ehealth #turunyliopisto #digitalisaatio #terveydenhuolto https://t.co/MFt7Y25pi1 @AnnaLottaK,tuoreessa aurora -lehdessä juttu qvalidilainen väitöstutkimukse ehealth turunyliopisto digitalisaatio terveydenhuolto _ url _ @annalottak,"in the latest aurora magazine, there is an article about qvalidilainen's doctoral research. #ehealth #turunyliopisto #digitalization #health care https://t.co/mft7y25pi1 @annalottak",0.4939,positiivinen
2018-06-21,kauppapol,A0,"Thaimaan uusi innovaatiovetoinen kehitysstrategia tarjoaa mahdollisuuksia muun muassa suomalaiselle #cleantech-, #koulutus-, #infrastruktuuri-, #digitalisaatio- ja #terveydenhuolto-osaamiselle. https://t.co/mR5AXTRYiY https://t.co/zzHZ682SSf",thaimaan uusi innovaatiovetoinen kehitysstrategia tarjota mahdollisuus muun muassa suomalaise cleantech koulutus infrastruktuuri digitalisaatio terveydenhuolto-osaamiselle _ url _ _ url _,"thailand's new innovation-driven development strategy offers opportunities for, among other things, finnish #cleantech, #education, #infrastructure, #digitalization and #healthcare expertise. https://t.co/mr5axtryiy https://t.co/zzhz682ssf",0.3818,neutraali
