Date,Username,Tweet
2021-12-31 15:17:50+00:00,Kankaanranta,"Digi- ja etävastaanotoilla voidaan korvata terveys- ja sosiaalihuollon lähipalveluja?  Samaa mieltä.  Olisin vastannut, että täysin samaa mieltä, mutta pohdinta ihmisten digivalmiuksista ei siihen ihan riittänyt.  https://t.co/FtpMVWl5Iv https://t.co/ILdTSMZX8k"
2021-12-12 14:28:29+00:00,MarkoRm1,"@tuomaspeltomaki Montakin lock downia. Mutta huoli pois, pian kansainvälinen digi""terveys""passi on jumtattu tuotantoon ja korona alkaa hellittää. Tosin voi muuten ahistella, mutta ei kuolla koronaan ✌️"
2021-12-12 12:30:09+00:00,dogetalist,Menestymisen resepti IoT voisi vaikka mistä saa enempää etänä? Kysyin. #lääkäri #terveydenhuolto #digiterveys
2021-12-07 19:19:30+00:00,EveliinaSaari,Nyt on koettu puhelinlääkäri ja chattilääkäri. Tykkäsin puhelinlääkäristä enemmän. Hetki empatiaa vuoropuhelussa. Chattilääkärin nopeasti tulevat korulauseet kalskahtivat automaatilta. Empatia vaikeampaa kirjoitettuna. #hoivatyöempatia #digiterveys
2021-12-03 09:43:08+00:00,KaretieSimo,EU:n uusi #GlobalGateway strategia toteuttaa #kaksoissiirtymä kansainvälisesti ja tuo mahdollisuuksia myös suomalaisille yrityksille. #vihreä #digi #rahoitus #ilmasto #ihmisoikeudet #terveys
2021-11-25 03:53:32+00:00,MarkoRm1,"@ORostila Eikö tuo tavoite, koronapassi eli todnäk lopullisessa muodossaan kansainvälinen digi""terveys""passi, ole ollut melko läpinäkyvä jo pitkään. Ja pahalta näyttää, että koronativolin jatkuminen loputtomiin on keino sen saamiseksi. Mitäs soppareita Hesa taas tekikään WEFfin kanssa?"
2021-11-22 06:21:20+00:00,LHyssala,Etäpalvelut mullistavat terveydenhuollon. Tehostus ehkäisevään työhön ja #digi tuovat säästöt jollakin aikavälillä. #terveys https://t.co/zNKQrGuHG8
2021-11-15 07:22:02+00:00,LHyssala,"Joka kunnassa tarve sote-pisteelle, jonka sisältö vaihtelee, kuten keskusta vaatii. Pelkästään kotiavustajat ja kotisairaanhoito vanhuksille, vaativat paikallisuutta, vaikkei koko terveys-sosiaalikeskusta. Silti ei poista digi-vaatimusta. #sote https://t.co/K9945y9K23"
2021-11-15 06:36:07+00:00,HendolinMinna,Digitalisaatio häivyttää maantieteelliset etäisyydet. Terveyskeskus voi tulla potilaan kotiin joko etäyhteydellä tai liikkuvana palveluna. ⁦@hsfi⁩ #digiterveys  https://t.co/lqNlat8FFR
2021-11-07 10:27:23+00:00,AstaWallenius,"Terveysala on kasvuala. Se näkyy mm. siinä, että @TEM_uutiset on nyt ensimmäistä kertaa avoinna vakinainen virka terveysalan tutkimus- &amp; innovaatiotoiminnan erityisasiantuntijaksi. Monipuolisia tehtäviä #tki #kasvustrategia #terveysteknologia #lääkkeet #digiterveys #datatalous"
2021-10-19 07:32:56+00:00,aklinikka,"Lämpimästi tervetuloa @MiinaPulkkinen! Miina vastaa digi- ja kasvupalveluistamme, joihin sisältyy mm. Pohjoisklinikka. https://t.co/fdZoIUalEm tuo asiakaslähtöiset digipalvelut työikäisten #alkoholi'n riskikäyttäjien ja työnantajien saataville. https://t.co/rfO44MNlqA #terveys"
2021-10-10 04:25:03+00:00,MarkoRm1,"Ketju ""terveys""passista. Todellisuutta, jota meillekin tuodaan väkisin ja hälyttävän moni puoltaa. Kun passi digi ja kansainv, siirrytään tasolle jolla k-piikki vain sivujuonne. Koskee kaikkia tavan kansalaisia, myös ""paremmistoa"". Pitää olla sinisilmäinen ääliö uskoakseen muuta."
2021-10-09 03:14:47+00:00,MarkoRm1,"@Jrvinen_J Tuskinpa haudataan, koska hankkeet ja näistä yhtenä tärkeimmistä juurikin kansainvälinen digi""terveys""passi näyttävät päivä päivältä vahvemmin olevan koko ns. pandemian pihvi."
2021-10-07 06:58:50+00:00,ViljaKirsi,"@BusinessFinland'lla on 15.12. asti auki haku suomalaisten ja saksalaisten PK-yritysten yhteishankkeille. Erityisteemoina terveys ja digi, mutta avoin siis kaikille aloille.
https://t.co/cU3sG7AjmS"
2021-10-05 10:50:40+00:00,CoronariaFi,"Myös Coronaria on mukana livetapahtumassa, nähdäänkö siellä? 

#kardiologia #coronaria #rekrytointi #digiterveys #sairaalatyö"
2021-10-04 13:43:27+00:00,Tapsa_Jpaa,"@SiniRuohonen Kyllähän niitä kertyy kun Turkukin käyttää kolmea: terveys Pegasosta, sosiaali Efficaa ja hammas Winhittiä. Ja sama toistuu läpi maakunnan, mutta vähän erilaisin kokoonpanoin. Päälle erilaiset digi- ja sähköiset palvelut. 41 on reippaasti alakanttiin."
2021-09-30 11:07:51+00:00,DCKristiina,"#USA:n markkina on tulikuuma. Krypto on kuumin, #biotalous, energia ja digiterveys kakkosina. 
Minulle biotalous on metsä. Suomen vihreälle kullalle ja metsäosaamiselle olisi tässä muutoksessa valtava tarve. Nyt viestit ja verkostot kuntoon!  https://t.co/iXVi9YYR2U"
2021-09-06 14:50:01+00:00,KnaapiSari,"Haluaisitko sinä terveys- ja hyvinvointitietoihisi perustuvia #digi-palveluja? Kuinka yksilöity suostumus datan jakamiseen tai siitä kieltäytyminen sujuisi parhaiten? 
#data #omadata #IT #etiikka #yhteiskehittäminen #työpaja #Turku #tiede #tutkimus #EODO @UniTurku @Turkukaupunki"
2021-09-06 05:03:06+00:00,Energiatutka,"@winninghelix Mutta eihän tämä ole mahdollista, ainakaan @oulunkaupunki *ssa! #rakennemuutos #alustatalous #digiterveys #digisote #maku @AulaMK"
2021-08-15 09:55:12+00:00,MarkoRm1,"Maailmanlaajuiseen digi""terveys""passiin mennään, näin ovat päättäneet... https://t.co/jOxFD1SyyN"
2021-08-09 13:15:10+00:00,dogetalist,murrokset kyllä ni viihdyttäneen runsaasti säästökeinoja #digiterveys
2021-07-09 16:22:48+00:00,Energiatutka,Kun käy lomalla #EU*ssa niin huomaa kuinka heikolla tasolla Suomen #digiterveys on. #GDPR #myData #alustatalous
2021-06-20 07:04:48+00:00,Energiatutka,@JeroAhola Miten #digiturvallinenrakennus kykenee vastaamaan haasteeseen? #digiterveys #vanhukset #digisote @jsinipuro @KivelaAntti @SitraFund @Digipooli
2021-06-18 06:12:46+00:00,AstaWallenius,"Suomen koronaklusteri ei ole järjestäytynyt? Tarjontaa on eripuolilta Suomea. Yhteistarjonta,  kokonaisratkaisut voisivat siivittää #vienti monen maan yhä hakiessa lisäkeinoja koronan torjuntaan. Täydentävänä hygieniaklusteri. #diagnostiikka #digiterveys #terveysteknologia 1/2"
2021-06-18 02:59:57+00:00,Energiatutka,Löytyisikö tähän haasteeseen @oulunkaupunki *sta ratkaisu? @PaiviLaajala #digiterveys #digisote #alustatalous @PaiviNerg @AulaMK https://t.co/jruO0PlWNv
2021-06-17 10:39:42+00:00,AstaWallenius,"Portugali investoi lähivuosina 300 milj. € #sotedigi #digiterveys #digitalisaatio

Suomalaiselle osaamiselle olisi kysyntää. Onko yhteistarjonta ja kokonaisratkaisut koottu, valmius tarttua mahdollisuuteen? #FinlandHealth #vienti"
2021-06-16 07:52:31+00:00,NiinaNurk,"❗️#HorisonttiEurooppa päätyöohjelma 2021-22 viimein julki: https://t.co/0gU6ks7LdQ

1#Terveys https://t.co/j5ZdWLC0NZ
2#Kulttuuri https://t.co/NBoJmf2kFR
3#Turva https://t.co/dK3bsslYAb
4#Digi https://t.co/1Z8H9JnqQG
5#Ilmasto https://t.co/YTztwSMxKQ
6#Bio https://t.co/fj5jSMd3SD"
2021-06-15 09:58:06+00:00,kimmorousku,"Tervetuloa 17.6. 13.45 meidän verkko-ohjelmaan, aiheena mm. terveys- ja hyvinvointiteknologia Digi- ja kyberturvan näkökulmasta.

Vastaathan meidän Menti-ennakkokyselyyn?
https://t.co/oVtSzZuIUq

Oletko katsonut meidän johdantovideon aiheeseen?
https://t.co/wcbaZpE5kB https://t.co/nhxEJ7m9CP"
2021-06-08 11:21:54+00:00,AstaWallenius,"BF:n veturiyritysten haastekilpailu. Tavoitteena saada yritykset lisäämään merkittävästi tutkimus-, kehitys- &amp; innovaatiotoimintaa 🇫🇮 , luoda uusia työpaikkoja &amp; uuteen liiketoimintaan tähtääviä miljardiluokan ekosysteemejä. Ei temaattisia rajauksia,#kestävämatkailu #digiterveys?"
2021-04-26 07:40:08+00:00,STNDigiIN,"Suurin #hoivapalvelut ulkopuolelle jäämisen vaara on niillä, joiden terveys on heikko, joilla ei ole digi- eikä suomen kielen taitoja, DigiIN-hankkeen ja @CoE_AgeCare tutkija @Ulla_Buchert kuvailee.
https://t.co/afYGQFplZm

@yliopistolehti @SocSciHelsinki #hoiva"
2021-04-12 06:28:29+00:00,MirvaGullman,"Kiinnostava tilaisuus ke 14.4. klo 10-11. ""Digiterveys, osaaminen ja oppiminen -näkökulmia digitalisaatioon - OmaDigiOpas"" https://t.co/0bH2a9gVyA"
2021-04-08 12:43:59+00:00,Energiatutka,@LauriNikula Onko huomioitu #digisote? #oulu #pohjoispohjanmaa #rokotepassi #EU #GDPR #myData #digiterveys #sote
2021-03-29 14:11:00+00:00,hilletw,Jälleen erittäin hyvä keskustelu sarjassa https://t.co/BTsSa1qit0 - tällä kertaa kuntien digi-infrasta. Keskiviikkona 31.3. klo 15 aiheena Terveys ja sosiaalipalvelujen käytännön järjestämisen edellytykset. @tttv2021 @Akatemia_STN  @ollikan @AnneRitschkoff #kuntavaalit2021
2021-03-25 05:50:03+00:00,Energiatutka,"@HonkonenPetri Juuri siitä, että ruoka liittyy kaikkeen. #ekosysteemit Olet sitä mitä syöt. #sote #digiterveys #alustatalous #digitalisaatio #some"
2021-02-15 13:33:11+00:00,HelsinkiEU,"Nimitysuutisia toimistoltamme! Terveys- &amp; digi-erityisasiantuntija @IiroKangas on aloittanut @ERRINNetwork terveystyöryhmän puheenjohtajana ja TKI-erityisasiantuntija @NiinaNurk on nimetty #UnILiON #HorisonttiEurooppa-työryhmän puheenjohtajaksi. 

Onnea! 🙌https://t.co/cmRdUXEiR2 https://t.co/YAYkeZZhPr"
2021-02-13 10:25:33+00:00,marion_fields,"Aikuisten heikot #perustaidot (luku-, numero-, digi-) ovat yhteydessä mm. huonompaan #terveys ja alhaisempaan osallistumiseen (äänestäminen, #vapaaehtoistyö). Perustaitojen hallinta on yhteydessä #koulutus-taustaan #aikuiskoulutus"
2021-02-09 08:25:57+00:00,AkiraRopo,"Kovaa tekemisen meininkiä Stefan Lindströmin &amp;
Risto Lähdesmäen yhteistyöllä! Kuten @TimoVuori sanoi tätä on hyvä lähteä monistamaan! #terveys #etätyöt #digi #clenatech #some 🌏🌍🌎🛰️
#kasvu #vienti #suurivientipäivä https://t.co/qio8r0qoQz"
2021-01-31 10:56:19+00:00,Energiatutka,@AnttiJaarni @AulaMK @ReijoKarhinen @ViitasaariFi @keskusta @JariLeppa @PAittakumpu @sryhma Miten halvin hinta määritellään/lasketaan? #ekosysteemioppi #ruoka #terveys #turvallisuus #vakuuttamien #alustatalous #digiterveys
2021-01-29 04:42:40+00:00,Energiatutka,"@RHeikinheimo Nyt pitää samalla pohtia, millä hinnalla ihmisten #geenitieto annetaan lääketeollisuudelle ja mikä on vastuu? @KivelaAntti #hallitus @MarinSanna #EU @miapetrakumpula @HennaVirkkunen #digitalisaatio #GDPR #myData #5G #digiterveys #sote"
2021-01-18 12:53:10+00:00,AstaWallenius,"Suomella #digiterveys #terveysdata edelläkävijänä #digitalhealth painopisteeseen paljon osaamista ja kokemusta annettavana, sekä kehittäjänä että kokeiluissa?  #smartyellowcard #rokotuskortti #rokotekortti #sotedigi"
2021-01-06 17:34:26+00:00,Energiatutka,@RuusunenJukka @mrsseppala @ilonalu Miten on #digituvallinenrakennus #huoltovarmuus #pandemiat https://t.co/P7SSZhdxn2 #digiterveys
2021-01-06 04:34:56+00:00,LKaenkoski__,"@EPliitto Skenaarioista riippumatta: ❖ Digitalisaation vauhdittaminen
❖ Toimijoiden digivalmiuksien parantaminen, kuituverkkoyhteyksien kehittäminen sekä terveys- ja  oppimisvalmiuksien digitalisoiminen  #digikuuluukaikille #digi #digitalhealth @DVVfi"
